subjectname,subjectcode,creditHour,Semester,collegename,programname,levelname
Consumer Behavior,MGT472,3,7,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Taxation in Nepal,MGT473,3,7,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Business Environment in Nepal,MGT474,3,7,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Internship,MGT475,3,7,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Project Report,MGT481,3,8,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Corporate Areas,MGT385,3,8,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Working Capital Management,MGT486,3,8,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Financial Institutions and Market,MGT487,3,8,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Service Marketing,MGT488,3,8,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Sales Management,MGT489,3,8,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Advertising Management,MGT490,3,8,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Human Resource Development,MGT491,3,8,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Compensation Management,MGT492,3,8,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Industrial Relations,MGT493,3,8,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Corporate Finance,MGT485,3,8,Central Campus of Management ,Bachelor of Business Administration,Bachelor
International Business Strategy,MGT541,3,4,Central Campus of Management ,Master of Business Administration,Master
Corporate Law,MGT542,3,4,Central Campus of Management ,Master of Business Administration,Master
Financial Institutions & Markets,FIN546,3,4,Central Campus of Management ,Master of Business Administration,Master
Strategic Financial Management,FIN547,3,4,Central Campus of Management ,Master of Business Administration,Master
Security Analysis & Portfolio Management,FIN548,3,4,Central Campus of Management ,Master of Business Administration,Master
Brand Management,MKT546,3,4,Central Campus of Management ,Master of Business Administration,Master
Sales Management,MKT547,3,4,Central Campus of Management ,Master of Business Administration,Master
Service Marketing,MKT548.,3,4,Central Campus of Management ,Master of Business Administration,Master
Compensation & Benefit Management,HRM546,3,4,Central Campus of Management ,Master of Business Administration,Master
Performance Management,HRM547,3,4,Central Campus of Management ,Master of Business Administration,Master
Human Resources Development,HRM548,3,4,Central Campus of Management ,Master of Business Administration,Master
Principles of  Management,MGMT411,3,1,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Business Communication ,MGMT412,3,1,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Micro Economics,MGMT413,3,1,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Cost Accounting,MGMT414,3,1,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Marketing Management,MGMT415,3,1,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Principles of Management,MGT411,3,1,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Financial Accounting,MGT412,3,1,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Basic Mathematics,MGT413,3,1,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Micro Economics,MGT414,3,1,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Computers in Management,MGT415,3,1,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Business English,MGT416,3,1,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Business Statistics I,MGMT421,3,2,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Macro Economics,MGMT422,3,2,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Introduction to Finance  I,MGMT423,3,2,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Computers in Management,MGMT424,3,2,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Agri Business Management,MGMT425,3,2,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Company Account,MGMT431,3,3,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Cooperative Management,MGMT432,3,3,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Business Statistics II,MGMT433,3,3,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Risk and Disaster Management,MGMT434,3,3,Central Campus of Management ,Bachelor of Business Studies,Bachelor
E Commerce,MGMT435,3,3,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Introduction to Finance II,MGMT441,3,4,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Human Resource Management,MGMT442,3,4,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Introduction to Sociology,MGMT443,3,4,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Business Law,MGMT444,3,4,Central Campus of Management ,Bachelor of Business Studies,Bachelor
NGO Management,MGMT445,3,4,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Micro Finance in Nepal,MGMT465.,3,6,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Financial Institutions and Market,FIN475,3,7,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Human Resource Management,HRM475,3,7,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Industrial Relation and Labor Law,HRM476,3,7,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Sales Marketing,MKT476,3,7,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Labor Welfare Management,HRM485,3,8,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Compensation Managment,HRM486,3,8,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Business Communication ,MGT421,3,2,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Business Statistics I,MGT422,3,2,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Financial Management  I,MGT423,3,2,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Marketing Management,MGT424,3,2,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Macro Economics,MGT425,3,2,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Human Resource Management,MGT432,3,3,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Cost Accounting,MGT433,3,3,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Tourism & Hospitality Management,MGT434,3,3,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Financial Management II ,MGT435,3,3,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Business Law,MGT431,3,3,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Organizational Behaviour,MGT441,3,4,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Business Statistics II,MGT442,3,4,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Business Ethics,MGT443,3,4,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Ecommerce,MGT444,3,4,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Fundamentals of Investment,MGT445,3,4,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Current Issues in Management,MGT 511,3,1,Central Campus of Management ,Master of Business Administration,Master
Managerial Communication,MGT 512,2,1,Central Campus of Management ,Master of Business Administration,Master
Business Communication Practicum,MGT 513,1,1,Central Campus of Management ,Master of Business Administration,Master
Financial Accounting and Analysis,MGT 514,3,1,Central Campus of Management ,Master of Business Administration,Master
Statistics for Management,MGT 515,3,1,Central Campus of Management ,Master of Business Administration,Master
Managerial Economics,MGT 516,3,1,Central Campus of Management ,Master of Business Administration,Master
Organizational Behaviour,MGT 521,2,2,Central Campus of Management ,Master of Business Administration,Master
Marketing Management,MGT 522,2,2,Central Campus of Management ,Master of Business Administration,Master
Financial Management,MGT 523,3,2,Central Campus of Management ,Master of Business Administration,Master
Cost and Management Accounting,MGT 524,3,2,Central Campus of Management ,Master of Business Administration,Master
Human Resource Management,MGT 525,2,2,Central Campus of Management ,Master of Business Administration,Master
Management Information System (MIS),MGT 526,2,2,Central Campus of Management ,Master of Business Administration,Master
MIS Practicum,MGT 527,1,2,Central Campus of Management ,Master of Business Administration,Master
Business Research Methodology,MGT 531,2,3,Central Campus of Management ,Master of Business Administration,Master
Operations and Supply Chain Management,MGT 532,2,3,Central Campus of Management ,Master of Business Administration,Master
Capital Structure Management,FIN 537,3,3,Central Campus of Management ,Master of Business Administration,Master
Integrated Marketing Communication,MKT 537,3,3,Central Campus of Management ,Master of Business Administration,Master
Entrepreneurship Development,EBM 537,3,3,Central Campus of Management ,Master of Business Administration,Master
Human Resource Development,HRM 537,3,3,Central Campus of Management ,Master of Business Administration,Master
Service Sector Management,MGT 538A,2,3,Central Campus of Management ,Master of Business Administration,Master
Tourism and Hospitality Management,MGT 538B,2,3,Central Campus of Management ,Master of Business Administration,Master
Cooperative Management,MGT 538C,2,3,Central Campus of Management ,Master of Business Administration,Master
Entrepreneurship,MGT 533,2,3,Central Campus of Management ,Master of Business Administration,Master
Social Business Attachment,MGT 534,2,3,Central Campus of Management ,Master of Business Administration,Master
New Venture Planning (Project Work),MGT 535,1,3,Central Campus of Management ,Master of Business Administration,Master
Seminar on Corporate Governance and CSR,MGT 536,1,3,Central Campus of Management ,Master of Business Administration,Master
Business Environment and Strategy Mgt.,MGT 541,3,4,Central Campus of Management ,Master of Business Administration,Master
